WKT,HANDLE,PARCEL
"POLYGON ((579070.279 1021080.774,579105.345 1021208.591,579128.657 1021202.504,579094.953 1021074.232,579070.279 1021080.774))",11023040100,100
"POLYGON ((579219.202796 1021374.30861099995673,579185.1171799999429 1021244.03130899998359,579160.0103479999816 1021250.78756399999838,579194.09611399995629 1021381.065423,579219.202796 1021374.30861099995673))",11037000130,130
"POLYGON ((579194.09611399995629 1021381.065423,579160.0103479999816 1021250.78756399999838,579136.834811 1021257.02410799998324,579170.920642 1021387.3025009999983,579194.09611399995629 1021381.065423))",11037000140,140
"POLYGON ((579170.920642 1021387.3025009999983,579136.834811 1021257.02410799998324,579112.69362699997146 1021263.520508,579146.77956399996765 1021393.799446,579170.920642 1021387.3025009999983))",11037000150,150
"POLYGON ((579146.77956399996765 1021393.799446,579112.69362699997146 1021263.520508,579088.552442 1021270.01690799999051,579122.638487 1021400.296391,579146.77956399996765 1021393.799446))",11037000160,160
"POLYGON ((579122.638487 1021400.296391,579088.552442 1021270.01690799999051,579033.51054199994542 1021284.828699999955,579067.49877099995501 1021415.13581699994393,579122.638487 1021400.296391))",11037000170,170
"POLYGON ((579067.49877099995501 1021415.13581699994393,579033.51054199994542 1021284.828699999955,578985.228173 1021297.8214989999542,579019.31483399996068 1021428.10327399999369,579067.49877099995501 1021415.13581699994393))",11037000180,180
"POLYGON ((579019.31483399996068 1021428.10327399999369,578985.228173 1021297.8214989999542,578959.15569299994968 1021304.837611,578993.24251 1021435.11996399995405,579019.31483399996068 1021428.10327399999369))",11037000190,190
"POLYGON ((578993.24251 1021435.11996399995405,578959.15569299994968 1021304.837611,578930.18627199996263 1021312.633291,578964.27326199994422 1021442.916287,578993.24251 1021435.11996399995405))",11037000200,200
"POLYGON ((578266.64896699995734 1021774.353267,578257.097239 1021738.608309,578257.33876399998553 1021738.54376899998169,578234.70559699996375 1021653.844792,578218.446099999943 1021658.18963699997403,578250.630996 1021778.63357099995483,578266.64896699995734 1021774.353267))",11045000060,60
"POLYGON ((578315.611015 1021761.269682,578307.176905 1021729.7071299999952,578306.93538 1021729.77167,578294.974794 1021685.01216499996372,578277.82648399996106 1021689.594518,578288.45496 1021729.368937,578288.860723 1021729.260509,578298.626942 1021765.808147,578315.611015 1021761.269682))",11045000090,90
"POLYGON ((578332.59508799994364 1021756.731217,578324.160978 1021725.168665,578323.842164 1021725.253858,578311.881579 1021680.49435299995821,578294.974794 1021685.01216499996372,578306.93538 1021729.77167,578307.176905 1021729.7071299999952,578315.611015 1021761.269682,578332.59508799994364 1021756.731217))",11045000100,100
"POLYGON ((578328.778703 1021675.979122,578311.881579 1021680.49435299995821,578323.842164 1021725.253858,578324.160978 1021725.168665,578332.59508799994364 1021756.731217,578349.57916099997237 1021752.19275199994445,578341.145051 1021720.6302,578340.739288 1021720.738627,578328.778703 1021675.979122))",11045000110,110
"POLYGON ((578350.99904799996875 1021670.04142599995248,578339.208849 1021625.9195479999762,578250.56899099994916 1021649.60579299996607,578262.35919099999592 1021693.72767099994235,578350.99904799996875 1021670.04142599995248))",11045000130,130
"POLYGON ((582583.442 1027704.602,582623.846 1027851.941,582641.24 1027847.362,582648.915 1027845.342,582608.842 1027697.823,582595.502 1027701.383,582583.442 1027704.602))",11073000150,150
"POLYGON ((586191.46555099997204 1024501.963493,586232.7661219999427 1024397.31789199996274,586209.47641899995506 1024388.2300019999966,586168.1758479999844 1024492.875603,586191.46555099997204 1024501.963493))",11110030050,50
"POLYGON ((586338.52135799999814 1024702.64083199994639,586361.71943499997724 1024711.96012399997562,586403.49433899996802 1024607.471568,586380.293467 1024598.159236,586338.52135799999814 1024702.64083199994639))",11111000040,40
"POLYGON ((586432.272553 1024602.833682,586455.47342499997467 1024612.146014,586497.2371499999426 1024507.68529799999669,586474.03627799998503 1024498.37296599999536,586432.272553 1024602.833682))",11111000080,80
"POLYGON ((586182.074 1024867.929,586216.401 1024881.877,586258.279 1024775.016,586225.583 1024761.678,586182.074 1024867.929))",11112000160,160
"POLYGON ((586182.074 1024867.929,586225.583 1024761.678,586205.771 1024753.608,586162.418 1024859.942,586182.074 1024867.929))",11112000170,170
"POLYGON ((586595.33613499999046 1025096.016944,586611.78826399997342 1025054.669907,586576.48068299994338 1025040.62089799996465,586560.02855299995281 1025081.9679349999642,586595.33613499999046 1025096.016944))",11113000050,50
