WKT,HANDLE,PARCEL,PARCELID
"POLYGON ((-90.209597796272732 38.619715766843228,-90.209631612520866 38.619722852259734,-90.209718889645671 38.619741154806007,-90.209918259474463 38.61978317298405,-90.209663397078074 38.619888481846083,-90.20963302338734 38.61990103216629,-90.209567463082465 38.619804349810103,-90.209597796272732 38.619715766843228))",10482090162,162,4820901700
"POLYGON ((-90.209667933602617 38.619616782213001,-90.20968938980711 38.619554122573383,-90.210006136512121 38.619621354202408,-90.209900275010369 38.619665505454115,-90.209667933602617 38.619616782213001))",10482090163,163,4820901630
"POLYGON ((-90.196769049961787 38.644808407415418,-90.196850638098141 38.64478353796261,-90.196980772498151 38.645074353143293,-90.196899184425831 38.645099222685317,-90.196769049961787 38.644808407415418))",10620000010,10,6200000100
"POLYGON ((-90.196817596297393 38.645124092170107,-90.196739636304642 38.644949872554527,-90.196821224261654 38.644925003122651,-90.196899184425831 38.645099222685317,-90.196817596297393 38.645124092170107))",10620000020,20,6200000200
"POLYGON ((-90.196817596297393 38.645124092170107,-90.196570351138348 38.645199456370968,-90.196440217827501 38.644908640745165,-90.196687462119471 38.644833276811902,-90.196739636304642 38.644949872554527,-90.196817596297393 38.645124092170107))",10620000050,50,6200000600
"POLYGON ((-90.196380282538456 38.645257391697626,-90.196250150244268 38.644966575867016,-90.196325211086091 38.644943696229092,-90.196455343993662 38.645234511979375,-90.196380282538456 38.645257391697626))",10620000080,80,6200000800
"POLYGON ((-90.196034757010295 38.645032230196669,-90.196250150244268 38.644966575867016,-90.196380282538456 38.645257391697626,-90.196164888550285 38.645323045985812,-90.196034757010295 38.645032230196669))",10620000090,90,6200000900
"POLYGON ((-90.196017365959278 38.644993364666121,-90.195887235254219 38.644702548700401,-90.19600961753396 38.644665245284898,-90.196139748316881 38.644956061391838,-90.196017365959278 38.644993364666121))",10620000100,100,6200001000
"POLYGON ((-90.196139748316881 38.644956061391838,-90.19600961753396 38.644665245284898,-90.196213587135773 38.644603072729524,-90.196343718984139 38.644893888616629,-90.196139748316881 38.644956061391838))",10620000110,110,6200001100
"POLYGON ((-90.196343718984139 38.644893888616629,-90.196213587135773 38.644603072729524,-90.196295174878117 38.644578203662121,-90.196425307012603 38.644869019460927,-90.196343718984139 38.644893888616629))",10620000120,120,6200001200
"POLYGON ((-90.19650689498495 38.644844150247977,-90.196376762564356 38.644553334537477,-90.196458350544631 38.644528465356494,-90.19658848290122 38.644819280977771,-90.19650689498495 38.644844150247977))",10620000140,140,6200001400
"POLYGON ((-90.19653993811869 38.644503596117367,-90.196617618618077 38.644677194018783,-90.196536030873233 38.644702063310625,-90.196458350544631 38.644528465356494,-90.19653993811869 38.644503596117367))",10620000150,150,6200001500
"POLYGON ((-90.196621525636658 38.644478726820999,-90.196751658565447 38.644769542265678,-90.19658848290122 38.644819280977771,-90.196536030873233 38.644702063310625,-90.196617618618077 38.644677194018783,-90.19653993811869 38.644503596117367,-90.196621525636658 38.644478726820999))",10620000160,160,6200001600
"POLYGON ((-90.196553909763423 38.645726589301304,-90.196391418336788 38.645777691612096,-90.19624323418968 38.645484070960478,-90.196405725052117 38.64543296884505,-90.196553909763423 38.645726589301304))",10621000080,80,6210000800
"POLYGON ((-90.196797646476369 38.64564993540791,-90.196716400963965 38.645675486763402,-90.196568215688458 38.64538186649979,-90.196649460917001 38.645356315244719,-90.196797646476369 38.64564993540791))",10621000100,100,6210001000
"POLYGON ((-90.196878891931362 38.645624383998388,-90.196797646476369 38.64564993540791,-90.196649460917001 38.645356315244719,-90.196730706091657 38.645330763930147,-90.196878891931362 38.645624383998388))",10621000110,110,6210001100
"POLYGON ((-90.197701096186051 38.646615497661358,-90.19756393371965 38.646340278798419,-90.197640769872052 38.64631695918645,-90.197688839006261 38.646412293830757,-90.197778664715244 38.646590438934517,-90.197701096186051 38.646615497661358))",10622000010,10,6220000100
"POLYGON ((-90.197243971137809 38.64639328497092,-90.196770419469573 38.646534268826258,-90.196630541668952 38.646252877172998,-90.197027907892945 38.646126685938924,-90.197098409447378 38.64610429756442,-90.197243971137809 38.64639328497092))",10622000090,90,6220000900
"POLYGON ((-90.197123699827642 38.647683742901094,-90.197039099288361 38.647710114358397,-90.196892486498882 38.647423389615142,-90.19697747721257 38.647396896546816,-90.197123699827642 38.647683742901094))",10623000014,14,6230000140
"POLYGON ((-90.195981525862891 38.64766302326521,-90.195836023705482 38.647375952364854,-90.196080063669385 38.647299883192503,-90.196225566650909 38.647586953796576,-90.195981525862891 38.64766302326521))",10623000070,70,6230000700
"POLYGON ((-90.196550953569727 38.647485527038818,-90.196405449489376 38.647198456832555,-90.196649488255488 38.647122386462236,-90.196794993159926 38.647409456374945,-90.196550953569727 38.647485527038818))",10623000120,120,6230001450
"POLYGON ((-90.196647796778564 38.64694636505682,-90.196505422025496 38.646661682631461,-90.19659479269626 38.646634560270797,-90.196735775175057 38.646918173542225,-90.196647796778564 38.64694636505682))",10624000010,10,6240000100
"POLYGON ((-90.196517967876687 38.646987963050549,-90.196404130780252 38.647024440191807,-90.196260108844882 38.646736164240174,-90.196374719279561 38.646701367019972,-90.196517967876687 38.646987963050549))",10624000020,20,6240000400
"POLYGON ((-90.196076124910178 38.647129537378028,-90.19600520743225 38.647152261796023,-90.195858003783016 38.646858251776592,-90.195929599621607 38.646836515008111,-90.196076124910178 38.647129537378028))",10624000080,80,6240000800
"POLYGON ((-90.19600520743225 38.647152261796023,-90.19587708532859 38.647193314339859,-90.195773478222321 38.64698542900905,-90.195729537146917 38.646897257538114,-90.195858003783016 38.646858251776592,-90.19600520743225 38.647152261796023))",10624000090,90,6240000900
"POLYGON ((-90.19587708532859 38.647193314339859,-90.19582413030632 38.64721028060211,-90.195749846123675 38.646992169011931,-90.195773478222321 38.64698542900905,-90.19587708532859 38.647193314339859))",10624000100,100,6240001000
"POLYGON ((-90.194986436283997 38.647466062451748,-90.194905157900465 38.647491553432573,-90.194758536793444 38.647204832993324,-90.194839814903574 38.647179342114697,-90.194986436283997 38.647466062451748))",10632000060,60,6320000600
"POLYGON ((-90.195682796198554 38.647756307971534,-90.195598088698134 38.647782467569577,-90.195453881171929 38.647497947951415,-90.195538588388345 38.64747178845532,-90.195682796198554 38.647756307971534))",10633000125,125,6330001600
"POLYGON ((-90.195736370186097 38.64911903844034,-90.195591808081346 38.648829904391235,-90.195673253971734 38.648804741347995,-90.195817816354676 38.649093875296145,-90.195736370186097 38.64911903844034))",10634000070,70,6340000700
"POLYGON ((-90.195654923957363 38.649144201524727,-90.19551036213079 38.648855067377397,-90.195591808081346 38.648829904391235,-90.195736370186097 38.64911903844034,-90.195654923957363 38.649144201524727))",10634000080,80,6340000800
"POLYGON ((-90.195573477675438 38.649169364554815,-90.195428916127028 38.648880230309267,-90.19551036213079 38.648855067377397,-90.195654923957363 38.649144201524727,-90.195573477675438 38.649169364554815))",10634000090,90,6340000900
"POLYGON ((-90.196587688216511 38.649741639602347,-90.196379918979972 38.649805490761409,-90.196240202563189 38.649526213585226,-90.196447890844695 38.649462299302719,-90.196587688216511 38.649741639602347))",10635000015,15,6350000150
"POLYGON ((-90.196193798944051 38.649495667645517,-90.196114313880756 38.649520127183422,-90.195971639313584 38.649230311290943,-90.196047270205923 38.649207184560503,-90.19605111644951 38.649206005600149,-90.196193798944051 38.649495667645517))",10635000110,110,6350001100
"POLYGON ((-90.196281530488235 38.64946866758369,-90.196193798944051 38.649495667645517,-90.19605111644951 38.649206005600149,-90.196138920585824 38.649179156859326,-90.196281530488235 38.64946866758369))",10635000120,120,6350001200
"POLYGON ((-90.196364493571878 38.649443135093414,-90.196281530488235 38.64946866758369,-90.196138920585824 38.649179156859326,-90.196221956324706 38.649153764700657,-90.196364493571878 38.649443135093414))",10635000130,130,6350001300
"POLYGON ((-90.196364493571878 38.649443135093414,-90.196221956324706 38.649153764700657,-90.196457233041272 38.649082288592851,-90.196598407622389 38.649371149903942,-90.196364493571878 38.649443135093414))",10635000140,140,6350001400
"POLYGON ((-90.193791210260315 38.648718692899607,-90.193646878463539 38.648432602126455,-90.193728257617778 38.648407382172991,-90.193872639567076 38.648693494606157,-90.193791210260315 38.648718692899607))",10639000085,85,6390000850
"POLYGON ((-90.194018229672196 38.648273228629066,-90.193873279139879 38.647985985841899,-90.193970972494839 38.64795570958529,-90.194115923357913 38.648242952254307,-90.194018229672196 38.648273228629066))",10639000150,150,6390001500
"POLYGON ((-90.193897301200906 38.647807636861067,-90.193404205728427 38.647962276986924,-90.19329166863794 38.647741758339414,-90.193636292177786 38.647633680966038,-90.193602465863606 38.647567397979735,-90.193750936404598 38.647520835732216,-90.193897301200906 38.647807636861067))",10640000060,60,6400000850
"POLYGON ((-90.193568505824601 38.647533687878408,-90.193243389660182 38.647635647503769,-90.193181212423283 38.647513808959509,-90.193506328115802 38.647411849502802,-90.193568505824601 38.647533687878408))",10640000110,110,6400001100
"POLYGON ((-90.186481443613374 38.642432886832388,-90.186573147160573 38.642172378829763,-90.186682985390334 38.642195693974713,-90.186591218113747 38.642456387009226,-90.186481443613374 38.642432886832388))",10654000110,110,6540001100
